Transaction_ID,Customer_ID,Account_Type,Total_Balance,Transaction_Amount,Investment_Amount,Investment_Type,Transaction_Date
302724,204265,Savings,87583,4206,34250,Fixed Deposit,09-02-2025
302725,200593,Current,91588,2910,34032,Fixed Deposit,03-02-2023
302726,209862,Savings,3245,349,29650,Fixed Deposit,11-09-2024
302727,202870,Savings,90411,965,23988,Mutual Fund,18-04-2024
302728,200511,Savings,3531,480,35163,Mutual Fund,09-08-2022
302729,205451,Business,71840,3980,2713,Recurring Deposit,21-05-2024
302730,205322,Savings,23036,3843,28629,Mutual Fund,11-02-2024
302731,209335,Current,78902,3048,1120,Fixed Deposit,15-06-2022
302732,202076,Current,33794,4821,31958,Fixed Deposit,23-02-2024
302733,203010,Business,74042,4654,31145,Mutual Fund,11-10-2022
302734,203745,Current,46802,350,31492,Mutual Fund,26-05-2024
302735,208021,Current,80810,1961,26516,Mutual Fund,26-12-2023
302736,200558,Savings,93635,3070,17824,Fixed Deposit,28-02-2024
302737,206243,Savings,33469,3864,44669,Fixed Deposit,13-08-2024
302738,201759,Savings,50522,4755,45970,Recurring Deposit,18-06-2022
302739,206200,Savings,27992,1590,13244,Recurring Deposit,05-08-2024
302740,203705,Savings,88749,157,7766,Recurring Deposit,08-03-2024
302741,206626,Current,78814,2448,32365,Mutual Fund,29-01-2025
302742,205264,Savings,33222,3327,31958,Mutual Fund,12-07-2023
302743,207009,Current,63148,4351,33440,Fixed Deposit,23-04-2022
302744,203225,Business,93172,2910,9598,Mutual Fund,26-11-2023
302745,201404,Current,24152,294,6767,Fixed Deposit,20-04-2023
302746,202697,Savings,79433,3124,39899,Fixed Deposit,25-03-2022
302747,206182,Savings,27417,1029,46244,Mutual Fund,22-02-2023
302748,207944,Savings,10865,4751,38447,Mutual Fund,04-09-2024
302749,205646,Business,64719,3503,16849,Fixed Deposit,12-07-2022
302750,202160,Business,27795,1852,6376,Fixed Deposit,30-05-2022
302751,200650,Current,73148,3448,26354,Fixed Deposit,08-01-2024
302752,205597,Current,15116,1525,44502,Mutual Fund,07-09-2023
302753,205525,Savings,39179,4231,43782,Fixed Deposit,13-03-2025
302754,208125,Savings,54175,2729,42325,Recurring Deposit,28-06-2022
302755,207319,Savings,2627,567,49291,Fixed Deposit,08-07-2024
302756,206051,Current,78004,4888,40111,Mutual Fund,22-06-2022
302757,204497,Savings,46603,5929.880885,7615,Fixed Deposit,06-07-2022
302758,203335,Current,74856,3651,45122,Recurring Deposit,23-03-2024
302759,203854,Current,90258,1591,7225,Mutual Fund,09-05-2022
302760,201612,Savings,12144,3798,22704,Fixed Deposit,09-06-2023
302761,204067,Savings,95704,226,43659,Fixed Deposit,16-12-2023
302762,204476,Current,13243,4188,31974,Mutual Fund,25-12-2022
302763,204726,Current,11602,2871,21517,Mutual Fund,17-10-2022
302764,202276,Current,24401,4715,33077,Fixed Deposit,11-12-2024
302765,203886,Current,49080,4451,37620,Fixed Deposit,18-12-2024
302766,205649,Business,78682,915,49807,Mutual Fund,03-01-2024
302767,207650,Savings,79367,4602,38683,Mutual Fund,23-10-2023
302768,205587,Current,79203,1636,49828,Fixed Deposit,05-11-2023
302769,203753,Business,2605,51.61395168,27854,Mutual Fund,15-02-2024
302770,209311,Business,18721,3757,16437,Mutual Fund,28-10-2023
302771,200676,Current,22939,4488,21039,Fixed Deposit,25-10-2023
302772,203054,Business,9389,2909,6771,Fixed Deposit,23-07-2022
302773,201263,Business,67904,3265,36635,Mutual Fund,13-02-2025
302774,207003,Business,68867,2198,15686,Recurring Deposit,12-01-2025
302775,203344,Savings,29902,3343,5065,Mutual Fund,05-07-2024
302776,202638,Current,80552,4355,13643,Mutual Fund,13-10-2022
302777,205947,Savings,44471,2331,29628,Recurring Deposit,30-12-2024
302778,201081,Business,92027,1941,18795,Recurring Deposit,12-09-2023
302779,207614,Business,64063,1315,12146,Recurring Deposit,21-09-2022
302780,206407,Business,8118,4361,47313,Recurring Deposit,23-12-2022
302781,209419,Savings,89178,1761,32204,Mutual Fund,02-07-2024
302782,201480,Current,4721,998,32464,Recurring Deposit,21-11-2023
302783,206681,Business,68005,2192,10341,Fixed Deposit,19-06-2024
302784,201901,Savings,7436,3361,4659,Mutual Fund,04-10-2022
302785,200421,Savings,99018,2282,28010,Fixed Deposit,01-03-2023
302786,203120,Savings,11043,4973.915431,41415,Fixed Deposit,26-03-2022
302787,202490,Savings,14914,2124,33487,Mutual Fund,25-04-2022
302788,204116,Current,76101,1865,21723,Mutual Fund,27-06-2023
302789,200396,Business,34090,2170,27431,Mutual Fund,09-03-2024
302790,206498,Business,86171,3331,45002,Recurring Deposit,30-01-2025
302791,209304,Current,54615,4709,14795,Recurring Deposit,13-07-2024
302792,202975,Business,27301,2821,22981,Fixed Deposit,08-01-2024
302793,201812,Savings,97651,3360,18568,Mutual Fund,24-06-2024
302794,207693,Business,26329,2143,41360,Fixed Deposit,31-10-2023
302795,202526,Savings,91652,1234,44161,Fixed Deposit,12-03-2023
302796,200006,Current,7429,3553,25869,Recurring Deposit,09-04-2023
302797,204835,Business,88701,1898,21712,Mutual Fund,05-03-2024
302798,208290,Business,31032,365,19977,Recurring Deposit,09-09-2023
302799,201490,Current,54556,572,27189,Recurring Deposit,16-11-2022
302800,204225,Savings,27842,4837,36052,Recurring Deposit,23-05-2023
302801,205185,Business,3837,2049,17013,Recurring Deposit,07-01-2023
302802,204814,Savings,87832,683.9981466,6710,Mutual Fund,12-09-2022
302803,203215,Business,8088,415,29555,Recurring Deposit,10-05-2022
302804,202315,Current,9582,2164,2830,Fixed Deposit,09-01-2025
302805,206627,Business,52245,283,20944,Recurring Deposit,01-01-2024
302806,209685,Savings,56306,2745,11077,Recurring Deposit,31-10-2024
302807,209179,Business,3063,4092,41765,Recurring Deposit,14-04-2022
302808,206453,Current,8349,4979,30872,Mutual Fund,29-03-2023
302809,206826,Savings,92832,252,26402,Recurring Deposit,04-02-2023
302810,204597,Current,91659,1394,32026,Recurring Deposit,03-07-2022
302811,202051,Savings,34842,1736,25815,Fixed Deposit,24-08-2022
302812,204555,Savings,70781,3612,43274,Recurring Deposit,28-09-2024
302813,207956,Business,79244,1906,27802,Recurring Deposit,12-05-2022
302814,206550,Current,43242,1307,49626,Mutual Fund,12-02-2024
302815,202217,Current,41226,1672,21083,Recurring Deposit,04-10-2024
302816,207002,Business,67160,3460,32262,Recurring Deposit,27-01-2025
302817,208799,Savings,23309,2278,42459,Recurring Deposit,17-03-2025
302818,205753,Business,24913,1428,1807,Fixed Deposit,04-06-2022
302819,209488,Current,49694,793,35212,Recurring Deposit,05-04-2023
302820,206325,Savings,7568,2257,44149,Mutual Fund,28-05-2022
302821,202394,Current,21183,204,4826,Mutual Fund,05-12-2023
302822,201909,Savings,14173,3198,6561,Fixed Deposit,31-01-2024
302823,200869,Savings,91273,2535,14947,Recurring Deposit,20-03-2023
302824,202677,Business,82890,2276,20483,Fixed Deposit,06-07-2024
302825,206483,Current,17906,2586,13532,Recurring Deposit,21-02-2023
302826,208443,Business,26806,1233,29683,Mutual Fund,16-06-2022
302827,203896,Business,11509,2816,27984,Recurring Deposit,24-10-2022
302828,200098,Business,4052,3705,24621,Fixed Deposit,11-05-2024
302829,201312,Current,41468,3322,43307,Fixed Deposit,13-06-2023
302830,205657,Current,43395,2667,35400,Mutual Fund,19-03-2023
302831,204695,Savings,41554,1949,10783,Fixed Deposit,31-08-2024
302832,203863,Savings,69709,3251,42988,Mutual Fund,29-07-2023
302833,205168,Savings,33597,4678,3440,Mutual Fund,03-09-2024
302834,200584,Savings,4068,3259,49701,Fixed Deposit,04-10-2024
302835,206853,Business,44579,2718,23630,Mutual Fund,28-01-2025
302836,206558,Savings,1545,3261,5433,Fixed Deposit,01-08-2023
302837,209231,Current,90152,1379,10183,Recurring Deposit,24-03-2023
302838,204204,Savings,12478,293,48070,Mutual Fund,02-07-2023
302839,204182,Current,70599,479,37475,Recurring Deposit,29-10-2022
302840,205828,Business,58091,4430,45967,Recurring Deposit,09-01-2025
302841,208848,Business,23888,778,41922,Mutual Fund,07-06-2024
302842,206152,Current,52946,719,33100,Fixed Deposit,27-02-2023
302843,209561,Business,41005,3054,4428,Fixed Deposit,23-12-2023
302844,203517,Current,97079,2799,35427,Recurring Deposit,30-06-2023
302845,203340,Current,42993,1763,28765,Fixed Deposit,22-05-2023
302846,204998,Current,66314,3654,4179,Mutual Fund,23-06-2022
302847,207919,Business,5311,2203,28916,Recurring Deposit,01-08-2024
302848,207655,Savings,81062,764.0189519,17771,Fixed Deposit,25-09-2024
302849,207268,Business,90696,2002,38896,Fixed Deposit,18-12-2022
302850,208599,Business,48322,4083,46767,Recurring Deposit,17-11-2024
302851,201974,Business,14692,4372,17109,Fixed Deposit,07-02-2025
302852,201311,Business,35008,3459,15213,Fixed Deposit,13-01-2024
302853,203078,Business,35591,3544,37128,Recurring Deposit,31-07-2024
302854,200275,Savings,78929,2576,21527,Recurring Deposit,28-04-2024
302855,206892,Savings,53377,312,4408,Mutual Fund,01-06-2022
302856,206546,Current,77867,3635,7604,Recurring Deposit,07-09-2023
302857,206845,Savings,20912,3498,46717,Recurring Deposit,14-12-2024
302858,202915,Business,58242,3048,48281,Recurring Deposit,26-01-2025
302859,204697,Current,90800,2531,47866,Mutual Fund,03-11-2023
302860,205724,Business,92627,271,9987,Recurring Deposit,12-06-2024
302861,200734,Current,63041,1732,23390,Recurring Deposit,29-07-2023
302862,207831,Business,59378,440,35420,Recurring Deposit,06-03-2025
302863,208327,Current,60828,4345,31143,Recurring Deposit,27-12-2023
302864,201753,Current,27213,4596,46753,Mutual Fund,15-12-2023
302865,201785,Savings,61191,1724,20710,Fixed Deposit,07-11-2022
302866,202929,Current,40610,789,1362,Mutual Fund,29-06-2023
302867,208215,Savings,79054,1847,12160,Fixed Deposit,26-10-2023
302868,201264,Savings,48240,4354,27731,Fixed Deposit,31-12-2022
302869,202560,Savings,55794,4141,12591,Mutual Fund,03-07-2024
302870,205876,Current,52600,2198,43911,Fixed Deposit,25-03-2024
302871,203694,Savings,95047,1883,4832,Recurring Deposit,30-03-2023
302872,203542,Savings,36594,3972,39986,Recurring Deposit,06-03-2023
302873,208649,Current,71200,3020,48525,Mutual Fund,01-07-2023
302874,206141,Current,18365,119,35287,Fixed Deposit,31-10-2022
302875,206560,Business,85017,1388.410863,13826,Recurring Deposit,09-03-2024
302876,205662,Business,25569,3039,16652,Mutual Fund,18-06-2022
302877,204172,Current,69432,171,13269,Mutual Fund,10-08-2024
302878,206165,Savings,36892,2889,36176,Fixed Deposit,22-12-2023
302879,201670,Current,54848,2111,4745,Fixed Deposit,28-12-2023
302880,209349,Current,92899,2477,11638,Mutual Fund,02-08-2024
302881,208715,Business,91319,3804,21378,Fixed Deposit,21-06-2024
302882,208103,Business,20168,1433.540963,38475,Recurring Deposit,15-10-2022
302883,203524,Current,22953,1777,36404,Mutual Fund,14-11-2023
302884,201977,Savings,38034,161,40302,Mutual Fund,02-04-2023
302885,209090,Current,16142,3269,10660,Mutual Fund,21-04-2023
302886,200099,Current,55313,226,7636,Mutual Fund,30-01-2023
302887,203626,Business,42675,3764,41448,Recurring Deposit,16-08-2023
302888,206985,Savings,53202,2410.979119,41424,Fixed Deposit,19-12-2024
302889,209868,Business,79753,3719,39292,Fixed Deposit,21-07-2022
302890,204279,Savings,83509,2887,10116,Fixed Deposit,17-02-2024
302891,207929,Current,36720,4204,32959,Fixed Deposit,18-10-2023
302892,201170,Current,26978,2895,20026,Fixed Deposit,11-08-2022
302893,204374,Savings,60101,2886,1090,Mutual Fund,30-06-2024
302894,202346,Savings,25060,1360,6359,Fixed Deposit,10-01-2023
302895,202327,Current,90995,244,29334,Mutual Fund,09-06-2022
302896,204482,Savings,3825,4189,38466,Fixed Deposit,12-05-2023
302897,200224,Current,1215,1648,33074,Recurring Deposit,27-10-2023
302898,204493,Savings,12937,2094,12519,Recurring Deposit,30-01-2025
302899,201440,Business,1587,726,47166,Recurring Deposit,15-10-2024
302900,204950,Savings,3585,4164,10518,Fixed Deposit,12-10-2024
302901,208346,Business,68551,575,20131,Fixed Deposit,21-05-2022
302902,209261,Business,63162,2411,23099,Fixed Deposit,12-07-2022
302903,204323,Business,99231,503,41191,Fixed Deposit,07-01-2023
302904,208493,Business,74527,4318,41473,Fixed Deposit,18-09-2024
302905,205201,Business,20413,4394,1163,Recurring Deposit,27-01-2025
302906,203215,Business,71703,3488,4293,Fixed Deposit,05-08-2024
302907,202617,Business,3112,655,13724,Mutual Fund,21-02-2023
302908,205460,Savings,64980,1302,48299,Fixed Deposit,03-04-2024
302909,208618,Savings,28366,3613,43322,Recurring Deposit,08-02-2023
302910,204570,Business,45532,4902.378221,4068,Recurring Deposit,20-08-2023
302911,206680,Business,90460,1240,40997,Fixed Deposit,04-07-2023
302912,201437,Business,37587,2906,23465,Fixed Deposit,13-04-2022
302913,209259,Savings,90854,1537,1137,Fixed Deposit,13-02-2023
302914,205201,Savings,76401,1990,45985,Recurring Deposit,10-01-2023
302915,207233,Current,86122,3664,35608,Recurring Deposit,19-09-2022
302916,202972,Current,75267,712,25682,Fixed Deposit,02-04-2024
302917,204030,Current,67900,3905,19102,Recurring Deposit,01-04-2023
302918,206696,Savings,55794,4597,27666,Recurring Deposit,05-03-2025
302919,203787,Savings,47295,380,31794,Fixed Deposit,14-10-2024
302920,205468,Savings,42995,261,35453,Fixed Deposit,18-03-2025
302921,208929,Savings,65518,135.4161211,29458,Recurring Deposit,01-02-2023
302922,200740,Business,6801,4106,49903,Fixed Deposit,27-11-2023
302923,200944,Current,20295,2623,28517,Fixed Deposit,27-03-2023
302924,209919,Current,67364,1725,16362,Recurring Deposit,25-07-2024
302925,209527,Current,36225,3342,45455,Mutual Fund,02-08-2023
302926,207558,Business,44868,2039,15265,Mutual Fund,03-06-2023
302927,202629,Business,59202,1893,44665,Mutual Fund,02-11-2023
302928,201556,Current,36507,2645,3353,Recurring Deposit,14-03-2024
302929,205947,Business,48561,1925,15293,Mutual Fund,26-06-2024
302930,206032,Savings,83819,922,40946,Mutual Fund,22-12-2024
302931,204328,Business,39037,568,32893,Recurring Deposit,30-09-2023
302932,207257,Current,27889,2091,8528,Fixed Deposit,13-07-2023
302933,204880,Current,73579,2362,40486,Recurring Deposit,01-05-2023
302934,204860,Business,91758,2766,32438,Fixed Deposit,30-09-2023
302935,200710,Savings,56486,1609.741727,2671,Fixed Deposit,25-05-2024
302936,205793,Savings,22745,420,36410,Fixed Deposit,01-05-2024
302937,201817,Current,67754,1039,41520,Mutual Fund,13-03-2024
302938,209225,Current,42047,2446,20271,Recurring Deposit,21-08-2022
302939,209552,Business,20822,3245,33480,Fixed Deposit,19-03-2024
302940,203386,Savings,80332,4640,27736,Recurring Deposit,31-07-2023
302941,206255,Business,93061,240,6134,Recurring Deposit,30-01-2023
302942,202127,Current,50512,981,35152,Recurring Deposit,17-10-2023
302943,202095,Business,50267,1625,23278,Fixed Deposit,20-07-2023
302944,200090,Current,20887,1151,4392,Mutual Fund,24-12-2023
302945,209860,Current,32682,4353,24474,Fixed Deposit,31-05-2022
302946,204791,Business,63926,3253,39745,Recurring Deposit,10-08-2024
302947,207908,Business,50631,925,31845,Mutual Fund,27-02-2023
302948,204005,Current,20879,2168,2371,Mutual Fund,02-11-2022
302949,204049,Savings,31449,1469,36336,Mutual Fund,15-04-2022
302950,203156,Savings,82279,2364,38017,Recurring Deposit,30-04-2023
302951,208454,Current,22717,4684,27116,Fixed Deposit,27-07-2024
302952,201257,Business,26571,2460,40533,Recurring Deposit,13-09-2024
302953,207944,Current,21191,3957,44793,Recurring Deposit,05-09-2024
302954,205096,Savings,21154,4087,12828,Fixed Deposit,29-12-2023
302955,200215,Current,49964,4357,43692,Recurring Deposit,22-06-2023
302956,206090,Current,59489,1517,46146,Recurring Deposit,12-11-2022
302957,205464,Current,78736,225.140135,30139,Recurring Deposit,19-01-2023
302958,209389,Savings,64471,3798,2251,Fixed Deposit,15-08-2023
302959,206180,Savings,38571,4086,10188,Fixed Deposit,13-03-2023
302960,200902,Business,38807,2836,33417,Mutual Fund,01-11-2023
302961,209744,Business,69284,129,11317,Fixed Deposit,22-08-2024
302962,202934,Savings,77036,310,47533,Fixed Deposit,06-04-2023
302963,202367,Savings,66542,4664,46850,Mutual Fund,04-05-2024
302964,201874,Current,52077,2462,19440,Mutual Fund,23-07-2024
302965,202092,Business,80794,2905,13597,Recurring Deposit,31-12-2024
302966,203436,Business,17336,1615,10860,Mutual Fund,16-02-2025
302967,209095,Current,3075,3121,21682,Fixed Deposit,27-08-2023
302968,205228,Business,71456,4472,19946,Mutual Fund,24-04-2023
302969,206998,Savings,62861,3096,6465,Fixed Deposit,18-04-2024
302970,205057,Savings,15896,5620.43328,14197,Recurring Deposit,11-12-2024
302971,202859,Savings,13779,507,4848,Recurring Deposit,21-04-2024
302972,207471,Savings,19187,2376,22495,Mutual Fund,05-03-2024
302973,201141,Current,64148,1810,41656,Recurring Deposit,07-12-2022
302974,201103,Business,53581,925,10648,Mutual Fund,19-09-2023
302975,204652,Current,77498,3220,2389,Mutual Fund,08-12-2022
302976,208584,Current,37320,495,38001,Recurring Deposit,24-10-2022
302977,201812,Savings,29972,3852,43486,Recurring Deposit,17-07-2024
302978,208066,Current,37228,1695,3428,Fixed Deposit,17-04-2024
302979,207925,Current,89994,880,38766,Mutual Fund,31-12-2022
302980,206889,Current,38026,2592,24228,Recurring Deposit,10-07-2024
302981,204728,Savings,29526,1208,36877,Recurring Deposit,12-12-2024
302982,205075,Current,71766,600,46801,Recurring Deposit,20-06-2022
302983,203783,Savings,85638,1958,44684,Fixed Deposit,11-06-2024
302984,205867,Savings,67805,3412,16348,Fixed Deposit,12-05-2022
302985,205667,Business,23307,329,35268,Recurring Deposit,14-07-2022
302986,208717,Current,9615,345,15855,Recurring Deposit,22-01-2025
302987,204058,Savings,89487,200,19648,Recurring Deposit,04-06-2022
302988,208482,Business,69284,2956,43052,Recurring Deposit,30-03-2022
302989,203703,Business,41182,3100,34046,Mutual Fund,21-12-2023
302990,201710,Business,54969,1793,16460,Fixed Deposit,20-10-2022
302991,205411,Savings,85699,1168,27521,Fixed Deposit,24-11-2024
302992,206776,Savings,82676,4269,22074,Fixed Deposit,15-03-2023
302993,207144,Current,46469,356,18457,Mutual Fund,04-07-2022
302994,205817,Savings,17935,1226,17050,Fixed Deposit,10-11-2022
302995,208684,Current,83832,1215,21457,Fixed Deposit,04-04-2022
302996,209630,Savings,95280,1360,3936,Mutual Fund,23-02-2023
302997,200867,Business,51534,2870,31776,Fixed Deposit,14-05-2024
302998,207000,Savings,25981,4279,26022,Recurring Deposit,27-02-2024
302999,205868,Current,90655,631,16912,Recurring Deposit,21-10-2023
303000,205961,Current,89893,4194,40890,Recurring Deposit,22-06-2022
303001,204557,Business,83574,957,17715,Mutual Fund,04-11-2024
303002,208687,Business,43359,3177.77209,31754,Mutual Fund,05-12-2024
303003,208217,Business,84509,2240,47303,Fixed Deposit,19-01-2025
303004,208957,Current,97911,3132,9116,Fixed Deposit,02-11-2024
303005,203026,Savings,10939,2459,8756,Recurring Deposit,09-04-2024
303006,206173,Savings,5056,2441,25512,Mutual Fund,08-01-2025
303007,203430,Current,60111,2880,11016,Fixed Deposit,16-04-2024
303008,201902,Current,62847,4793,35484,Recurring Deposit,14-04-2022
303009,204945,Current,63031,4637,40939,Fixed Deposit,31-03-2022
303010,203329,Current,94042,2777,16479,Recurring Deposit,24-06-2024
303011,200333,Savings,28343,4817,16105,Recurring Deposit,24-07-2024
303012,201427,Business,66401,3883,48381,Fixed Deposit,19-12-2023
303013,209657,Savings,39296,4781,30562,Recurring Deposit,08-04-2022
303014,205350,Current,14438,562,40366,Fixed Deposit,15-04-2022
303015,203617,Business,75669,1442,21711,Fixed Deposit,20-06-2024
303016,200571,Savings,62295,986.8636876,38244,Fixed Deposit,21-05-2023
303017,200801,Current,27496,1610,41733,Recurring Deposit,30-06-2024
303018,201188,Current,28057,4106,20530,Mutual Fund,09-06-2023
303019,208386,Current,30818,1016,38802,Mutual Fund,16-04-2022
303020,208318,Savings,86169,3399,44190,Fixed Deposit,09-05-2024
303021,204320,Savings,58248,2963,18166,Recurring Deposit,09-03-2025
303022,203294,Savings,21208,2121.300321,22830,Mutual Fund,31-01-2025
303023,202611,Current,69422,3582,8228,Mutual Fund,18-01-2024
303024,204651,Savings,19149,874,10026,Mutual Fund,24-12-2022
303025,209813,Business,8835,3276,43778,Recurring Deposit,03-09-2022
303026,204250,Business,10375,1341,11333,Fixed Deposit,17-08-2022
303027,203732,Current,86511,2422,14231,Recurring Deposit,12-06-2024
303028,206156,Business,32531,1035,31652,Recurring Deposit,07-11-2022
303029,202452,Current,37959,1437,39415,Recurring Deposit,30-03-2023
303030,200809,Savings,55395,4605,30325,Recurring Deposit,13-01-2023
303031,208416,Current,96087,3629,39835,Recurring Deposit,07-11-2024
303032,207007,Current,41642,4999,15933,Recurring Deposit,15-06-2024
303033,204399,Savings,53870,399,48985,Mutual Fund,17-04-2023
303034,200219,Current,39021,2144,31611,Recurring Deposit,22-09-2023
303035,207793,Current,3524,3171,40689,Fixed Deposit,10-05-2023
303036,208469,Business,68756,4003,32289,Fixed Deposit,27-11-2023
303037,206113,Current,47778,2786,22276,Mutual Fund,21-07-2022
303038,208720,Business,91426,1914,13931,Fixed Deposit,21-10-2023
303039,208672,Current,95040,172,47558,Recurring Deposit,11-12-2023
303040,203173,Savings,72460,1154,6325,Fixed Deposit,03-03-2024
303041,202841,Savings,22585,1514,8556,Mutual Fund,14-08-2024
303042,204774,Business,23467,4394,11819,Mutual Fund,02-04-2023
303043,205190,Current,56286,2528,38066,Fixed Deposit,08-03-2025
303044,201982,Current,29224,4909,5469,Recurring Deposit,06-03-2023
303045,202776,Current,98632,2321,19904,Fixed Deposit,29-06-2023
303046,206895,Business,23427,4096,2547,Mutual Fund,15-02-2025
303047,209906,Business,6970,3900,40262,Recurring Deposit,24-07-2022
303048,201181,Business,69704,332,4914,Mutual Fund,30-12-2024
303049,204648,Business,12022,1921,27591,Recurring Deposit,24-12-2024
303050,208096,Business,88276,1558,1842,Mutual Fund,09-05-2022
303051,202097,Business,3390,3894,10286,Fixed Deposit,13-08-2022
303052,208126,Savings,60046,3672,21289,Recurring Deposit,10-12-2023
303053,207078,Savings,99765,1665,16680,Mutual Fund,31-10-2023
303054,206545,Current,85300,3461,47680,Mutual Fund,27-10-2023
303055,202803,Current,14287,1855,30512,Mutual Fund,26-07-2024
303056,202673,Business,24835,2422,33813,Fixed Deposit,29-03-2024
303057,205376,Savings,90502,4201,13636,Fixed Deposit,16-06-2022
303058,208607,Business,22131,3316,7162,Mutual Fund,04-12-2024
303059,203160,Savings,68852,3272,41564,Mutual Fund,04-04-2022
303060,202569,Savings,62954,702,29276,Fixed Deposit,16-03-2025
303061,207550,Savings,81446,3315,48516,Fixed Deposit,12-12-2022
303062,207644,Savings,16423,3623,8796,Recurring Deposit,27-07-2022
303063,203774,Business,90419,122,22781,Mutual Fund,05-05-2024
303064,207401,Business,33596,3366,37535,Fixed Deposit,24-01-2024
303065,202613,Business,53349,3617,44477,Mutual Fund,16-12-2024
303066,206119,Savings,31529,2491,17860,Recurring Deposit,17-08-2023
303067,201686,Current,26951,2034,47614,Recurring Deposit,16-08-2024
303068,200838,Business,33712,4142,13199,Mutual Fund,16-08-2022
303069,206449,Business,41592,678,30401,Fixed Deposit,18-06-2024
303070,209123,Current,61536,2614,33446,Recurring Deposit,26-05-2022
303071,202309,Business,11295,4367,20285,Mutual Fund,12-03-2023
303072,204972,Business,23641,4681,30605,Fixed Deposit,12-02-2023
303073,203947,Savings,83642,4902,28272,Mutual Fund,28-02-2025
303074,204164,Current,85486,4238,40892,Mutual Fund,17-08-2024
303075,200082,Current,20363,1604.009395,8779,Fixed Deposit,28-03-2024
303076,208961,Current,24847,846,6809,Mutual Fund,16-05-2023
303077,209002,Business,2193,4001,6615,Mutual Fund,01-06-2022
303078,208662,Current,21643,1518,20295,Fixed Deposit,14-07-2022
303079,203623,Savings,57176,4674,29797,Mutual Fund,16-02-2025
303080,205123,Current,39694,3308,22729,Fixed Deposit,30-05-2023
303081,206730,Current,54112,3049,12068,Fixed Deposit,11-07-2024
303082,205224,Savings,87767,4436,5633,Recurring Deposit,12-08-2024
303083,208313,Business,39615,3737,42077,Recurring Deposit,06-01-2025
303084,201890,Savings,94769,2977,45495,Mutual Fund,11-05-2022
303085,208044,Savings,3890,732,8397,Mutual Fund,24-12-2022
303086,204784,Current,95053,4430,19672,Mutual Fund,22-07-2023
303087,209602,Current,52029,4533,46058,Fixed Deposit,14-04-2022
303088,206094,Current,16159,698,26068,Fixed Deposit,05-02-2023
303089,200316,Current,15750,3302,28811,Recurring Deposit,17-09-2024
303090,200504,Savings,16616,995,35632,Recurring Deposit,30-10-2022
303091,208624,Business,83866,4686,37730,Mutual Fund,29-11-2023
303092,208783,Business,58535,1382,31192,Fixed Deposit,18-07-2022
303093,206407,Current,41172,1062,28611,Fixed Deposit,28-06-2023
303094,207268,Current,62136,1410,2990,Fixed Deposit,28-11-2022
303095,200600,Current,30023,3498,49217,Recurring Deposit,13-08-2024
303096,203479,Business,17244,4762,18728,Recurring Deposit,29-03-2023
303097,202452,Savings,33515,1070,25168,Fixed Deposit,17-08-2024
303098,201147,Savings,61154,2239,11092,Fixed Deposit,15-11-2023
303099,204359,Business,89412,991,19024,Fixed Deposit,04-02-2025
303100,208850,Savings,3857,2375,38713,Mutual Fund,07-07-2024
303101,206941,Business,71606,3281,49119,Fixed Deposit,18-08-2023
303102,201114,Savings,99456,2428,31924,Fixed Deposit,07-11-2023
303103,209187,Savings,86890,2697,40311,Recurring Deposit,24-10-2022
303104,206515,Current,48371,2975,25690,Fixed Deposit,23-02-2025
303105,208552,Business,63375,3256,47940,Recurring Deposit,20-07-2022
303106,206906,Business,96519,1321,41724,Recurring Deposit,06-05-2024
303107,203784,Current,27929,3247,4464,Recurring Deposit,09-09-2023
303108,209900,Current,28715,1076,39876,Fixed Deposit,12-06-2022
303109,205695,Business,99588,1296,21171,Mutual Fund,19-08-2022
303110,205661,Business,19974,711,9455,Mutual Fund,28-01-2024
303111,205565,Current,72135,723,12745,Fixed Deposit,16-03-2023
303112,207337,Business,29695,4963,23702,Recurring Deposit,17-07-2022
303113,209371,Current,45042,1549,39099,Recurring Deposit,01-09-2023
303114,203641,Business,7782,2781,47799,Mutual Fund,16-10-2024
303115,201054,Current,28933,4288,13652,Fixed Deposit,29-10-2024
303116,207001,Business,28632,1992,28192,Recurring Deposit,01-10-2024
303117,205731,Business,87802,3713,48454,Fixed Deposit,27-11-2023
303118,206510,Savings,79597,4004,23951,Fixed Deposit,10-08-2023
303119,204211,Business,56425,3759,30426,Mutual Fund,06-05-2022
303120,203595,Current,38606,1929,17033,Recurring Deposit,30-11-2024
303121,205420,Savings,72442,3511,23915,Fixed Deposit,19-05-2023
303122,208513,Current,91351,1905,44697,Mutual Fund,18-02-2024
303123,202919,Current,8719,581,32993,Recurring Deposit,21-04-2024
303124,205535,Current,25721,4030,44398,Recurring Deposit,10-03-2023
303125,202472,Current,10507,4956,1383,Mutual Fund,24-09-2023
303126,204278,Business,31007,3404,12945,Mutual Fund,27-07-2024
303127,203908,Current,50459,3404,22605,Recurring Deposit,25-10-2023
303128,204612,Savings,58141,3132,31144,Mutual Fund,20-01-2024
303129,203062,Savings,51036,2925,4889,Fixed Deposit,03-01-2023
303130,206514,Current,8797,2186,49761,Mutual Fund,08-02-2025
303131,207138,Business,75353,2755,37397,Fixed Deposit,16-09-2024
303132,208100,Savings,60923,325,22335,Fixed Deposit,10-01-2025
303133,207521,Business,93388,3066,23569,Mutual Fund,01-11-2023
